Name,Manufacturer,Mfr,Cold,Calories,Cal Cat,Protein,Fat,Sodium,Sod Cat,Fiber,Fiber Cat,Complex Carbos,Tot Carbo,Sugars,Calories fr Fat,Potassium,Enriched,Wt/serving,cups/serv
100% Bran,Nabisco,N,C,80,Low Cal,4,0.5,120,Low Sodium,8,High Fiber,8,23,7,5,270,25,29,0.33
100% Nat. Bran Oats & Honey,Quaker Oats,Q,C,230,High Cal,5,9,20,Low Sodium,3,Medium Fiber,15,34,16,30,250,0,51,0.5
100% Nat. Low Fat Granola w raisins,Quaker Oats,Q,C,210,High Cal,5,,140,Low Sodium,3,Medium Fiber,23,44,18,25,20,10,55,0.66
All-Bran,Kelloggs,K,C,80,Low Cal,4,1,65,Low Sodium,10,High Fiber,8,24,6,10,390,25,31,0.5
All-Bran with Extra Fiber,Kelloggs,K,C,50,Low Cal,3,0.5,110,Low Sodium,13,High Fiber,7,20,0,10,260,25,26,0.5
Almond Crunch w Raisins,Kelloggs,K,C,210,High Cal,5,2,300,High Sodium,5,Medium Fiber,33,50,12,20,180,35,58,1
Apple Cinnamon Cheerios,General Mills,G,C,120,High Cal,2,2,160,High Sodium,1,Low Fiber,11,25,13,15,65,25,,0.75
Apple Jacks,Kelloggs,K,C,120,High Cal,2,0,150,Low Sodium,1,Low Fiber,13,30,16,0,35,25,33,1
Banana Nut Crunch,Post,P,C,250,High Cal,5,6,240,High Sodium,4,Medium Fiber,27,43,12,50,170,25,59,1
Basic 4,General Mills,G,C,200,High Cal,4,,320,High Sodium,3,Medium Fiber,26,43,14,25,150,25,55,1
Bran Buds,Kelloggs,K,C,80,Low Cal,3,0.5,210,High Sodium,4,Medium Fiber,12,24,8,5,290,25,30,0.33
Bran Flakes,Post,P,C,100,Low Cal,3,0.5,220,High Sodium,5,Medium Fiber,13,24,6,5,190,25,30,0.75
Cap'n'Crunch,Quaker Oats,Q,C,110,High Cal,1,1.5,200,High Sodium,1,Low Fiber,10,23,12,15,55,25,27,0.75
Cheerios,General Mills,G,C,110,High Cal,3,2,280,High Sodium,3,Medium Fiber,18,22,1,15,95,25,30,1
Cinnamon Toast Crunch,General Mills,G,C,130,High Cal,1,,210,High Sodium,1,Low Fiber,13,24,10,30,45,25,30,0.75
Cocoa Puffs,General Mills,G,C,120,High Cal,1,1,190,High Sodium,0,Low Fiber,13,27,14,10,55,25,30,1
Complete Oat Bran,Kelloggs,K,C,110,High Cal,4,1,270,High Sodium,4,Medium Fiber,13,23,6,10,120,25,30,0.75
Complete Wheat Bran,Kelloggs,K,C,90,Low Cal,3,0.5,230,High Sodium,5,Medium Fiber,14,24,5,5,170,25,29,0.75
Corn Chex,General Mills,G,C,110,High Cal,2,0,300,High Sodium,0,Low Fiber,23,26,3,0,30,25,30,1
Corn Flakes,Kelloggs,K,C,100,Low Cal,2,0,300,High Sodium,1,Low Fiber,21,24,2,0,25,25,28,1
Corn Pops,Kelloggs,K,C,120,High Cal,1,0,120,Low Sodium,0,Low Fiber,14,28,14,0,25,25,31,1
Cracklin' Oat Bran,Kelloggs,K,C,190,High Cal,4,6,170,High Sodium,6,High Fiber,15,36,15,50,230,25,49,0.75
Cream of Wheat (Instant),Nabisco,N,H,100,Low Cal,3,,170,High Sodium,1,Low Fiber,27,28,0,0,25,25,28,1
Crispix,Kelloggs,K,C,110,High Cal,2,,210,High Sodium,1,Low Fiber,21,25,3,0,35,25,29,1
Fiber One,General Mills,G,C,60,Low Cal,2,,140,Low Sodium,13,High Fiber,11,24,0,10,250,25,30,0.5
Franken Berry,General Mills,G,C,120,High Cal,1,,210,High Sodium,0,Low Fiber,13,27,14,5,15,25,30,1
