"id","female","ses","schtyp","prog","read","write","math","science","socst","honors","awards","cid"
27,0,2,1,2,53,61,61,57,56,1,3,15
114,0,3,1,2,68,65,62,55,61,1,5,18
177,0,2,2,2,55,59,62,58,51,0,2,15
57,1,2,1,2,71,65,72,66,56,1,5,20
56,0,2,1,3,55,45,46,58,51,0,0,9
5,0,1,1,2,47,40,43,45,31,0,0,4
138,1,2,1,3,43,57,40,50,51,0,2,7
75,0,2,1,3,60,46,51,53,61,0,0,10
97,0,3,1,2,60,54,58,58,61,0,1,14
200,0,2,2,2,68,54,75,66,66,0,1,19
164,0,2,1,3,31,36,46,39,46,0,0,1
6,1,1,1,2,47,41,46,40,41,0,0,3
81,0,1,1,2,63,43,59,65,44,0,0,14
45,1,1,1,3,34,35,41,29,26,0,0,1
102,0,3,1,2,52,41,51,53,56,0,0,8
52,1,1,1,2,50,46,53,53,66,0,0,9
17,1,2,1,2,47,57,48,44,41,0,2,8
70,0,1,1,1,57,52,41,47,57,0,1,8
61,1,3,1,2,76,63,60,67,66,1,4,20
33,1,1,1,2,57,65,72,54,56,1,5,18
78,1,2,1,2,39,54,54,53,41,0,1,9
44,1,1,1,3,47,62,45,34,46,1,3,6
34,1,3,2,2,73,61,57,55,66,1,3,18
199,0,3,2,2,52,59,50,61,61,0,2,13
168,0,2,1,2,52,54,57,55,51,0,1,12
73,1,2,1,2,50,52,53,39,56,0,1,7
122,1,2,1,2,52,59,58,53,66,0,2,12
83,1,2,1,3,50,62,41,55,31,1,3,10
40,0,1,1,1,42,41,43,50,41,0,0,4
76,0,3,1,2,47,52,51,50,56,0,1,9
24,0,2,1,2,52,62,66,47,46,1,3,14
108,0,2,1,1,34,33,41,36,36,0,0,1
107,0,1,1,3,47,39,47,42,26,0,0,4
125,1,1,1,2,68,65,58,59,56,1,5,18
41,0,2,1,2,50,40,45,55,56,0,0,7
86,0,3,1,1,44,33,54,58,31,0,0,6
195,0,2,2,1,57,57,60,58,56,0,2,15
63,1,1,1,1,52,65,60,56,51,1,5,15
113,0,2,1,2,44,52,51,63,61,0,1,11
12,0,2,1,3,37,44,45,39,46,0,0,3
