"uniqid","yrint","yrborn","female","race","marital","educ","realrinc","health"
22500,1988,1961,1,1,1,16,22919,NA
13039,1982,1961,1,1,1,12,603,4
45558,2004,1973,0,3,1,13,19623.5,4
33514,1996,1960,0,1,1,13,32625,3
52820,2008,1974,1,1,1,12,29452.5,3
8779,1977,1938,1,2,1,12,8667,4
42020,2002,1955,1,1,1,13,28156.5,4
16225,1984,1954,1,1,5,16,8254,4
38070,1998,1936,0,1,1,12,16363,3
6632,1976,1927,0,1,1,11,25465,4
22944,1988,1917,1,1,2,8,4343,2
36960,1998,1966,1,3,1,13,11196,4
33115,1996,1955,0,1,1,16,92692,NA
51128,2008,1967,1,1,1,18,36146.25,NA
47954,2006,1980,0,1,5,16,7816.875,2
23686,1989,1945,1,1,5,19,25511,4
53716,2010,1973,1,1,3,12,19425,3
54314,2010,1988,0,1,5,14,19425,2
48764,2006,1976,0,3,4,11,25582.5,4
32990,1996,1959,0,2,1,18,32625,3
54252,2010,1966,1,1,1,16,23310,3
3647,1974,1936,0,2,1,13,43178,3
12882,1982,1918,0,1,1,15,97992,3
42412,2002,1969,1,1,2,12,20335.25,4
13201,1982,1949,1,1,1,20,16577,1
42985,2002,1947,1,1,1,12,7039.125,NA
3236,1974,1947,1,1,1,17,22206,4
36109,1998,1933,1,1,2,13,3100,3
49116,2006,1940,0,1,1,16,6395.625,3
50255,2006,1953,0,1,1,10,31267.5,3
41898,2002,1980,0,3,5,13,2815.65,3
11126,1980,1930,0,1,1,9,13595,3
13499,1982,1921,1,1,1,9,4220,3
31347,1994,1961,1,1,1,16,21010,4
39670,2000,1934,0,2,1,13,29925,2
41974,2002,1934,1,1,4,13,51620.25,NA
38166,2000,1934,0,1,1,16,36575,3
50273,2006,1978,1,1,1,12,1989.75,3
50942,2006,1959,0,1,1,13,25582.5,3
15072,1983,1960,0,1,1,11,12779,NA
13165,1982,1953,0,2,1,12,10850,4
12040,1980,1915,0,1,1,10,24547,3
29777,1994,1969,1,1,1,16,24830,4
22368,1988,1958,0,1,1,16,36189,NA
9262,1978,1946,0,1,1,12,20355,NA
43123,2002,1952,1,1,1,13,2815.65,2
32092,1994,1950,0,2,1,11,34380,2
30422,1994,1937,1,1,1,12,10505,3
28728,1993,1963,1,2,1,14,14738,NA
49604,2006,1964,0,1,1,16,159292.27,4
15252,1983,1933,1,1,1,13,2272,NA
43270,2002,1941,0,1,1,16,42234.75,3
33143,1996,1958,0,1,3,11,23563,4
11693,1980,1916,0,1,1,12,32100,3
30009,1994,1951,1,1,3,12,17954,NA
50677,2006,1968,1,1,3,13,10659.375,4
18648,1986,1955,0,2,5,20,45866,NA
37062,1998,1947,1,1,1,15,18947,3
19874,1986,1961,0,1,3,16,14015,NA
44929,2004,1965,0,1,4,12,6792.75,3
5378,1975,1914,1,2,1,12,7782,4
20621,1987,1939,1,2,3,12,27500,3
40683,2000,1951,1,1,5,14,21612,NA
20754,1987,1937,1,1,1,18,23750,4
39405,2000,1956,0,1,1,16,66500,3
21754,1987,1947,0,2,3,12,13750,4
26856,1991,1952,0,1,1,20,45959,3
48887,2006,1980,0,2,5,18,13501.875,2
36182,1998,1927,1,1,1,13,6201,3
25127,1990,1941,1,1,1,12,4879,4
13813,1982,1960,0,2,5,11,2411,4
5101,1975,1941,1,1,1,12,27793,4
47711,2006,1969,1,1,1,16,25582.5,3
10889,1980,1940,1,1,3,13,16994,3
50976,2006,1969,0,1,3,12,25582.5,3
15097,1983,1930,0,1,1,15,48277,NA
19157,1986,1948,1,1,4,11,9173,NA
19212,1986,1942,0,1,1,10,28029,NA
47056,2006,1964,0,3,1,18,25582.5,3
30937,1994,1946,0,1,1,16,34380,3
37250,1998,1977,0,1,5,14,14641,4
15120,1983,1944,0,1,1,10,18459,NA
10829,1980,1933,1,1,1,12,16994,2
14972,1983,1957,1,1,1,12,12779,NA
36446,1998,1947,1,1,3,12,22392,3
12770,1982,1926,0,1,1,11,19591,4
24052,1989,1964,1,1,4,16,19713,4
17235,1985,1958,1,1,1,16,22432,4
7145,1976,1946,1,1,1,12,15279,4
10848,1980,1939,0,1,1,12,56647,4
24880,1989,1921,1,1,3,8,6958,3
18693,1986,1954,0,1,5,12,14015,NA
11746,1980,1931,1,2,3,18,5287,3
6137,1976,1948,0,1,1,16,25465,4
47231,2006,1958,0,1,1,12,15633.75,3
32596,1996,1943,1,1,1,18,48938,4
19802,1986,1959,1,1,1,12,11466,NA
17200,1985,1950,1,1,3,12,14515,4
16768,1984,1932,1,1,1,12,2201,4
29084,1993,1968,0,1,1,12,14738,3
18457,1985,1957,1,1,1,16,3695,4
54265,2010,1952,0,1,3,15,3367,2
20379,1987,1931,0,1,1,18,92594,4
44989,2004,1974,0,1,1,14,3320.9,3
40320,2000,1966,0,1,2,13,54862,3
5566,1975,1948,1,1,1,9,1112,3
19791,1986,1943,0,1,1,12,38222,NA
28165,1993,1934,1,1,1,16,25545,NA
14643,1983,1916,1,1,1,16,568,NA
35026,1996,1952,1,1,1,14,4713,3
12552,1982,1958,0,1,5,16,28030,3
45455,2004,1945,0,1,1,5,12830.75,NA
38205,2000,1980,0,1,5,12,7481,4
8297,1977,1956,0,1,5,12,3852,2
9530,1978,1936,0,1,1,10,38449,NA
31206,1994,1959,1,1,3,14,28650,NA
6107,1976,1938,0,1,1,10,25465,3
26233,1990,1933,0,1,1,20,33266,NA
31905,1994,1966,0,1,1,19,24830,4
43474,2002,1976,1,1,5,19,10167.625,NA
15543,1983,1938,1,1,1,12,568,NA
25610,1990,1971,0,1,5,12,1774,NA
3557,1974,1918,0,1,3,8,30841,2
21841,1987,1945,1,2,3,12,9000,3
46694,2006,1965,1,1,4,13,38373.75,4
43390,2002,1965,1,3,1,16,234366.65,NA
41244,2002,1957,1,1,1,14,23463.75,4
10077,1978,1947,0,1,1,12,42068,NA
50034,2006,1970,1,1,1,12,2558.25,4
50221,2006,1953,1,1,3,14,18476.25,4
41426,2002,1971,0,1,5,18,23463.75,3
17594,1985,1962,1,1,1,12,6861,4
28762,1993,1928,1,2,2,9,5895,2
24837,1989,1962,1,1,1,15,12756,4
19389,1986,1948,0,2,1,12,28029,NA
6051,1975,1952,0,1,5,13,7782,3
28212,1993,1942,1,3,1,0,2751,2
15415,1983,1910,0,1,2,12,6248,NA
30361,1994,1961,0,3,5,5,6876,3
47162,2006,1965,0,2,1,14,38373.75,NA
33794,1996,1964,1,1,5,13,8156,NA
30817,1994,1944,1,1,1,12,382,NA
39133,2000,1970,1,1,4,12,18287,4
16521,1984,1944,0,1,1,16,33016,4
17007,1984,1945,0,1,5,14,12381,4
9860,1978,1942,1,1,5,12,16284,NA
30692,1994,1960,0,1,1,14,21010,3
29897,1994,1956,1,2,1,14,21010,NA
23225,1988,1929,0,2,1,8,18094,NA
21782,1987,1955,1,2,3,11,11250,2
14516,1983,1956,0,1,3,10,12779,NA
