"id","hsg","blk","hsp","nonint","mhs","mcol","fhs","fcol","adjinc","urb","empl","unem80","wtest","age"
295,0,0,0,1,1,0,1,0,0.8083,1,1,6.9,-0.572,21
4854,1,0,0,1,1,0,0,0,0.694,1,1,6.9,0.64,22
5961,0,1,0,1,0,0,1,0,0.2055,1,0,8.4,-1.303,20
12010,1,0,1,1,1,0,1,0,0.9815,1,1,7.5,1.109,22
3780,1,0,0,1,1,0,0,0,1.05,1,0,10.3,0.407,21
9651,1,0,0,0,1,0,0,0,1.1547,1,0,5.2,0.449,22
9569,1,1,0,0,0,0,0,0,0.5715,1,1,11.1,-1.014,21
6805,1,0,0,0,1,0,1,0,0.7155,1,2,9.2,-0.045,21
4158,0,0,0,1,0,1,1,0,1.5,1,1,8.7,-0.536,22
6034,0,1,0,1,0,0,0,0,0.0787,1,0,7.2,-0.877,21
9814,0,0,1,1,0,0,0,0,0.5303,1,2,10.2,-1.174,20
1788,1,0,0,0,1,0,1,0,1.0392,1,0,6.8,0.701,21
9873,1,1,0,0,1,0,0,0,0.866,1,2,4.6,0.452,21
7808,1,1,0,0,0,0,0,0,0.6762,1,2,3,-0.887,21
12197,1,1,0,1,1,0,1,0,1.0451,1,0,5.1,0.088,21
261,1,0,0,0,1,0,0,0,1.35,1,1,9.5,0.988,22
2475,1,0,0,0,0,0,1,0,1.0206,0,2,6.9,0.917,22
6897,1,1,0,1,0,0,1,0,0.3,1,0,4.3,-0.507,21
10128,1,1,0,0,0,0,0,0,0.4082,0,2,4.3,-1.347,22
778,1,0,0,0,1,0,0,1,1.0286,1,1,4.8,0.897,21
8698,1,1,0,0,0,0,0,0,0.4937,1,2,8.5,-0.367,21
675,0,1,0,0,0,0,1,0,0.8333,1,0,6.9,-1.713,22
9679,1,1,0,1,1,0,1,0,0.35,1,2,9,-0.131,22
7261,1,1,0,0,0,0,1,0,0.3536,1,0,7.5,-1.194,22
4620,0,0,0,1,0,0,0,0,0.2268,1,2,7,-1.865,21
1802,1,0,0,0,1,0,0,1,2,1,0,7.4,0.905,21
1580,0,0,0,0,1,0,1,0,1.6,1,0,3.6,-0.761,22
10330,0,1,0,1,0,0,0,0,0.1768,0,0,6.9,-1.767,20
639,1,0,0,0,1,0,0,1,1.25,0,1,6.3,0.408,21
10327,0,1,0,1,0,0,0,0,0.1508,0,2,6.9,-1.334,20
