"Female","Age","Neuroticism","Extraversion","Happiness","ERA","QSR"
1,22,3.125,4.125,7,0.447916667,21.25
0,49,4,3.5,5,0.245970833,3.5
1,60,3.5,3.125,4.25,0.439841667,22
0,28,3.125,3.5,5.25,0.414991667,20.75
0,54,2.375,5,6.25,0.299316667,15
1,22,1.666666667,3.75,6,0.394770833,22.5
1,43,2.875,2.25,2.75,0.443875,18.25
1,22,3.75,3.083333333,4.75,0.4646,19.25
1,43,3.375,3.375,4,0.39375,20
1,21,3.375,3.125,5.5,0.390491667,18.75
0,52,2.75,3.5,5.75,0.409908333,11.5
1,22,2.875,3.5,5.5,0.463925,23.5
0,49,2.125,4.5,7,0.45945,3
0,59,4.25,3.125,5,0.20275,14
1,24,3.25,3,4,0.4569625,21.75
0,46,2.375,4.625,5,0.436054167,13.5
1,21,3.833333333,3.666666667,4.5,0.3595875,24.25
0,45,2.125,3.75,5.75,0.473208333,19
1,22,3.083333333,3.333333333,5.25,0.267929167,21.75
1,51,3,3.375,4.5,0.441820833,21.5
0,21,1.625,4,5,0.409908333,20.5
0,21,3,3.625,5.75,0.270166667,24
1,21,2.75,3.125,5.75,0.382829167,22.25
0,33,2.875,3.625,5.5,0.348870833,22.5
1,22,2.875,3.875,6.25,0.42345,26
0,62,2.25,3,3.25,0.279220833,11.75
0,55,1.5,3.375,5.75,0.281920833,19.75
1,47,2.875,3.125,4.5,0.301254167,13.75
0,49,2.25,3.125,5.5,0.373083333,22.5
1,31,2.625,3.75,5.5,0.312916667,20.5
0,65,3.5,3.625,6.5,0.348079167,21
1,52,2.25,3,5.75,0.4353,25.75
0,59,2.625,3.625,5.75,0.456829167,18
1,23,3.875,3,5,0.458716667,19.75
0,55,2.75,3.875,6,0.349579167,17.75
1,57,2.875,3,4,0.444733333,9.75
0,50,3.125,3.375,5,0.186370833,17.75
1,48,3.5,4,7,0.379325,19
1,21,2.875,4.625,6.25,0.383666667,22.25
1,21,3,2.875,5.25,0.425158333,21.75
1,48,2.375,3.625,5.25,0.4844,17.75
1,22,2.5,4.75,5.25,0.4567375,26.75
1,48,2.75,4.5,5.5,0.461304167,25.5
0,45,1.875,3.625,5.5,0.355679167,18.75
0,22,2.875,2.75,3,0.416366667,19.5
0,39,3.25,4.75,6.25,0.422283333,26.75
0,54,2.375,3.375,7,0.3829125,24.25
1,39,1.875,2.625,4.25,0.4628875,24.5
0,50,3,3,5.25,0.47615,17
0,70,1.875,2.5,4.75,0.239875,22
1,30,2.5,4.125,4.5,0.379429167,23
1,59,3.125,3.875,6,0.4358125,22.25
1,58,3.625,4.125,4.25,0.3497875,15
0,18,3.125,3.875,5,0.2850125,22
0,52,3.375,3.125,4.25,0.38495,13.75
0,46,3,2.875,6,0.390379167,21.5
1,59,3.25,2.75,4,0.430441667,11.5
1,21,3.375,3.125,4.25,0.370045833,26
0,46,2.75,2.875,5.75,0.303829167,19.5
1,49,2.625,4.25,4,0.360375,20.75
1,21,3.333333333,3.166666667,5.5,0.4191125,23.25
1,22,3.125,2.75,5,0.351279167,20.5
0,55,2,2.125,4.5,0.397020833,10.5
0,55,2.75,3,4.5,0.3472625,12.75
0,49,2.875,2.75,5.25,0.4094,13
1,25,3.375,3.5,1.5,0.385191667,23.25
1,21,3.875,2.75,4.25,0.389308333,21.5
1,46,2.375,3.625,6.25,0.439316667,19.5
1,45,4,2.25,2,0.384220833,14.75
1,32,2.625,NA,6,0.4509125,19.25
1,45,3,3.875,3.25,0.422641667,23
1,52,3.125,3.25,5.25,0.323304167,24.25
1,46,2.5,3.625,4.5,0.410804167,8
0,49,2.375,3.5,4.75,0.421395833,25.25
0,59,2.375,4.125,5.5,0.315266667,20
1,21,3.166666667,3.75,5.5,0.356645833,20.25
0,49,2.875,3.125,5,0.339620833,16
1,48,2.75,3.25,5.5,0.426604167,17
0,56,2.375,3,4.75,0.170125,16
1,57,3.75,4.625,4.75,0.377145833,20
0,50,2.625,2.75,5.5,0.401791667,20
0,22,3.875,2.5,3.75,0.39245,16
1,49,2.875,2.5,4.5,0.410058333,21.25
1,50,1.75,3.875,5.75,0.441558333,18.5
0,43,1.75,3.625,5.25,0.390366667,19.25
1,50,4.25,3.375,3.25,0.352658333,17.5
1,47,3,2.625,3.5,0.390016667,9
0,51,2.75,3.25,5.25,0.350720833,17.5
0,31,2.75,3,5.75,0.336425,25.75
1,53,3.5,2.875,5.75,0.3622125,24.5
1,21,3.375,2.5,4.75,0.392383333,20.75
0,58,2.125,3.75,5,0.427733333,18
0,54,3.75,2.625,4,0.39225,20.25
1,23,3.083333333,3.5,4,0.450125,21.25
1,21,3.666666667,3.333333333,3.75,0.4215125,20.5
1,23,3.125,3.375,5.5,0.3845125,23.5
1,21,2.125,4.25,6.5,0.41235,23.5
1,54,4.375,2.25,3.75,0.376295833,16.75
1,62,2.75,3.875,3.75,0.376075,11.75
0,54,1.875,4,5.25,0.349870833,19
0,56,3.75,4.25,4,0.276058333,15.75
0,56,3.375,3.75,4.75,0.375620833,21.75
0,32,2.75,2.875,5,0.4223625,24
1,25,4.125,2.375,4,0.328391667,15
1,21,3.583333333,3.666666667,5.25,0.392433333,22.75
1,23,3.375,2.75,6,0.3968,22.75
1,31,3,3,5.25,0.400345833,18.5
0,22,3,3.875,6,0.385304167,26
0,26,2.75,3,3.75,0.384383333,23.25
1,21,4.375,4.625,3.25,0.347320833,24.75
1,56,3.125,5,6.25,0.445829167,21.25
0,45,2.75,4.75,6,0.351145833,22.25
1,22,2.75,3.625,5.75,0.348820833,23.5
0,56,2.125,3.5,5.75,0.469091667,19.75
1,56,1.375,4.875,6.5,0.339270833,23.75
1,21,3.083333333,3.5,5.25,0.374520833,22
1,22,2.875,2.875,3.75,0.337945833,13.5
