"Age","Female","College.grad","Have.child","Marital.status","Job","Religiosity","Social.support","Life.satisfaction","Happiness","Stressors","Depression"
27,1,1,0,"Married","Professional",60,31,73,38,41,41
24,1,1,0,"Single","Academic",55,25,86,55,11,20
23,1,1,0,"Single","SupportServices",71,43,90,55,11,20
26,0,1,0,"Single","SupportServices",54,24,78,43,12,21
23,1,1,0,"Single","SupportServices",70,41,96,61,11,20
34,1,1,0,"Cohabitant","Professional",72,44,92,57,7,17
23,1,1,0,"Single","Professional",64,35,87,52,45,44
23,1,1,0,"Cohabitant","Professional",64,35,86,51,6,16
40,0,1,0,"Cohabitant","Professional",58,28,85,50,9,18
32,1,0,0,"Single","Academic",49,19,77,40,29,33
31,1,0,1,"Single","Academic",38,7,74,61,29,33
40,1,0,1,"Single","Academic",49,19,85,35,8,18
26,1,1,1,"Cohabitant","SupportServices",55,25,82,47,0,12
46,1,0,1,"Married","Academic",53,23,60,35,41,41
48,1,0,1,"Single","Academic",56,26,76,45,30,33
25,1,1,0,"Single","Professional",45,14,56,20,55,51
45,1,0,1,"Cohabitant","Academic",76,48,84,40,19,26
24,1,1,0,"Cohabitant","SupportServices",64,35,95,60,24,29
23,1,1,0,"Single","SupportServices",75,47,86,51,20,26
24,1,1,0,"Boy/Girlfriend","Professional",55,25,81,46,39,40
32,1,1,1,"Cohabitant","SupportServices",75,47,94,59,20,26
34,1,0,0,"Single","Academic",69,40,80,60,1,13
35,1,0,1,"Cohabitant","Academic",59,29,81,43,31,34
27,1,0,0,"Single","Professional",52,22,73,38,42,42
23,1,1,0,"Cohabitant","SupportServices",60,31,95,60,46,45
31,1,0,0,"Single","Academic",43,12,72,38,26,31
31,0,1,0,"Single","Academic",41,10,68,55,23,28
27,1,1,0,"Cohabitant","SupportServices",60,31,91,56,29,33
52,1,1,1,"Married","SupportServices",59,29,83,48,17,24
27,1,1,0,"Married","Academic",48,17,87,42,2,13
27,1,1,0,"Single","Academic",57,27,63,51,0,12
32,0,1,0,"Cohabitant","SupportServices",63,34,72,37,57,53
25,0,1,0,"Single","Academic",62,33,99,48,5,16
30,1,0,1,"Single","Professional",78,50,103,69,35,37
24,0,1,0,"Single","Academic",58,28,75,59,28,32
28,1,1,0,"Single","SupportServices",47,16,80,45,12,21
34,1,0,1,"Married","Academic",61,32,81,43,13,21
40,1,0,1,"Married","Professional",62,33,80,45,23,28
24,1,1,0,"Cohabitant","SupportServices",60,31,88,53,4,15
52,1,1,1,"Married","Professional",83,56,103,69,15,23
40,1,0,1,"Married","Academic",53,23,70,43,10,19
59,1,0,1,"Single","Academic",63,34,103,52,3,14
23,0,1,0,"Cohabitant","SupportServices",75,47,99,65,12,21
26,1,1,0,"Single","Professional",71,43,91,56,17,24
45,1,0,1,"Married","Academic",58,28,77,58,29,33
26,1,1,0,"Boy/Girlfriend","Academic",62,33,92,40,18,25
30,0,1,0,"Cohabitant","SupportServices",67,38,84,49,1,13
33,1,0,1,"Cohabitant","Academic",66,37,73,39,24,29
63,1,0,1,"Married","Academic",59,29,85,42,45,44
24,1,1,0,"Single","Academic",44,13,68,36,4,15
23,1,1,0,"Single","Academic",71,43,93,75,12,21
40,0,0,1,"Married","Academic",71,43,82,44,0,12
27,0,1,0,"Cohabitant","Professional",81,53,85,50,3,14
24,1,1,0,"Cohabitant","Professional",61,32,87,52,16,23
24,1,1,0,"Cohabitant","SupportServices",50,20,83,48,55,51
31,1,1,0,"Single","Professional",73,45,84,49,16,23
24,1,1,0,"Single","Professional",83,56,108,74,29,33
23,1,1,0,"Boy/Girlfriend","SupportServices",65,36,87,52,8,18
25,1,1,0,"Cohabitant","Professional",64,35,77,42,43,43
23,1,1,0,"Single","SupportServices",76,48,101,67,10,19
23,1,1,0,"Single","Academic",78,50,77,27,11,20
34,1,1,0,"Single","SupportServices",69,40,94,59,1,13
36,1,1,0,"Single","SupportServices",41,10,86,51,16,23
24,1,1,0,"Boy/Girlfriend","Academic",52,22,82,60,10,19
57,0,1,1,"Boy/Girlfriend","Professional",52,22,81,46,34,36
41,1,0,1,"Cohabitant","Academic",75,47,85,40,17,24
49,1,0,1,"Cohabitant","Academic",54,24,71,44,27,31
26,1,1,0,"Single","Academic",55,25,88,53,67,60
25,1,1,0,"Single","Professional",52,22,90,55,19,26
22,1,1,0,"Boy/Girlfriend","Academic",73,45,92,41,16,23
32,1,0,0,"Married","Academic",58,28,88,54,33,36
35,1,0,0,"Single","Academic",73,45,98,58,13,21
35,1,0,1,"Married","Academic",63,34,77,57,11,20
39,1,0,1,"Cohabitant","Academic",75,47,77,19,5,16
23,1,1,0,"Single","SupportServices",62,33,96,61,10,19
43,1,0,1,"Single","Academic",64,35,86,44,16,23
23,1,1,0,"Single","Professional",37,5,79,44,59,54
25,0,1,0,"Cohabitant","SupportServices",68,39,98,64,18,25
37,1,1,1,"Married","SupportServices",59,29,91,56,43,43
23,1,1,0,"Single","SupportServices",69,40,85,50,6,16
23,1,1,0,"Single","SupportServices",60,31,90,55,48,46
23,1,1,0,"Single","Academic",64,35,94,35,27,31
27,1,1,0,"Boy/Girlfriend","Professional",55,25,85,50,16,23
23,1,1,0,"Cohabitant","SupportServices",61,32,86,51,28,32
24,1,1,0,"Cohabitant","SupportServices",50,20,69,34,47,46
27,1,1,0,"Boy/Girlfriend","Academic",59,29,80,44,15,23
22,1,1,0,"Single","Academic",72,44,86,52,10,19
23,1,1,0,"Cohabitant","SupportServices",60,31,70,35,15,23
NA,1,1,0,"Boy/Girlfriend","Professional",78,50,94,59,8,18
26,1,1,0,"Single","SupportServices",60,31,70,35,6,16
23,1,1,0,"Single","Professional",57,27,89,54,30,33
28,1,0,1,"Cohabitant","Academic",67,38,79,49,3,14
23,1,1,0,"Single","Academic",64,35,77,28,6,16
25,1,1,0,"Single","Academic",50,20,69,57,14,22
30,1,1,0,"Single","Professional",67,38,100,66,12,21
27,1,1,0,"Single","Professional",66,37,87,52,0,12
26,1,1,0,"Single","Professional",53,23,77,42,27,31
24,1,1,0,"Cohabitant","SupportServices",65,36,95,60,18,25
60,1,0,1,"Married","Academic",59,29,97,27,53,50
24,0,1,0,"Single","Professional",69,40,86,51,8,18
30,1,0,0,"Boy/Girlfriend","Academic",74,46,93,40,0,12
23,1,1,0,"Single","SupportServices",43,12,80,45,17,24
30,1,0,1,"Cohabitant","Professional",57,27,85,50,39,40
25,1,1,0,"Cohabitant","Professional",59,29,72,37,38,39
25,1,1,0,"Boy/Girlfriend","Academic",71,43,97,47,18,25
24,1,1,0,"Cohabitant","Professional",49,19,61,26,47,46
23,1,1,0,"Single","Academic",82,55,109,41,12,21
27,1,1,0,"Single","Professional",63,34,91,56,15,23
28,1,1,0,"Cohabitant","SupportServices",58,28,79,44,48,46
23,1,1,0,"Boy/Girlfriend","Professional",38,7,41,5,53,50
22,1,1,0,"Cohabitant","Academic",71,43,93,32,9,18
35,1,0,1,"Married","Academic",71,43,94,33,16,23
43,1,0,1,"Married","Academic",77,49,81,53,24,29
23,1,1,0,"Boy/Girlfriend","SupportServices",64,35,96,61,29,33
24,1,1,0,"Cohabitant","Professional",54,24,79,44,27,31
23,1,1,0,"Boy/Girlfriend","Academic",53,23,77,49,15,23
26,1,1,0,"Boy/Girlfriend","SupportServices",58,28,68,33,28,32
41,1,0,1,"Married","Academic",60,31,92,30,29,33
22,1,1,0,"Boy/Girlfriend","Academic",75,47,99,53,5,16
40,1,0,1,"Married","Academic",69,40,92,29,38,39
23,1,1,0,"Single","SupportServices",36,4,70,35,24,29
25,0,1,0,"Single","Professional",59,29,85,50,9,18
22,1,1,0,"Single","Academic",68,39,84,34,24,29
37,1,0,0,"Cohabitant","Academic",65,36,91,59,23,28
22,1,1,0,"Cohabitant","Academic",74,46,100,44,8,18
27,1,1,0,"Boy/Girlfriend","Academic",70,41,90,50,20,26
39,1,0,1,"Cohabitant","Academic",63,34,85,52,13,21
27,1,1,0,"Boy/Girlfriend","Professional",51,21,90,55,40,41
23,0,1,0,"Single","Academic",74,46,90,38,0,12
23,1,1,0,"Boy/Girlfriend","Professional",51,21,86,51,32,35
35,0,1,1,"Married","Professional",58,28,76,41,6,16
24,1,1,0,"Single","SupportServices",61,32,93,58,41,41
32,1,1,0,"Cohabitant","Professional",67,38,92,57,28,32
23,1,1,0,"Single","Academic",74,46,104,56,5,16
24,1,1,0,"Single","SupportServices",74,46,100,66,30,33
31,1,1,0,"Single","SupportServices",53,23,77,42,49,47
25,1,1,0,"Single","SupportServices",71,43,75,40,25,30
23,1,1,0,"Single","Academic",65,36,103,35,1,13
25,1,1,0,"Single","Professional",60,31,90,55,15,23
24,1,1,0,"Single","Professional",54,24,84,49,31,34
22,1,1,0,"Single","Academic",74,46,82,48,29,33
33,0,0,0,"Single","Academic",68,39,80,65,16,23
50,1,0,1,"Married","Academic",71,43,94,60,22,28
24,1,1,0,"Married","SupportServices",49,19,48,12,27,31
35,1,0,0,"Single","Academic",78,50,95,49,13,21
22,0,1,0,"Single","Academic",55,25,91,32,19,26
24,1,1,0,"Cohabitant","Professional",63,34,76,41,39,40
44,1,0,1,"Married","Academic",69,40,86,38,18,25
25,0,1,0,"Cohabitant","SupportServices",78,50,94,59,15,23
25,1,1,0,"Single","SupportServices",52,22,85,50,20,26
48,1,0,1,"Married","Academic",55,25,82,30,43,43
24,1,1,0,"Single","Professional",50,20,86,51,18,25
27,1,1,1,"Married","Professional",79,51,100,66,21,27
31,0,1,0,"Boy/Girlfriend","Academic",47,16,81,41,39,40
23,1,1,0,"Cohabitant","Professional",75,47,84,49,7,17
22,1,1,0,"Cohabitant","Academic",68,39,91,34,14,22
34,1,1,1,"Married","SupportServices",54,24,74,39,39,40
24,1,1,0,"Single","SupportServices",68,39,98,64,19,26
22,1,1,0,"Single","Academic",61,32,77,43,53,50
33,1,0,1,"Married","Academic",63,34,89,55,38,39
28,0,1,0,"Boy/Girlfriend","SupportServices",63,34,101,67,6,16
36,1,0,1,"Cohabitant","Academic",32,0,79,46,39,40
23,1,1,0,"Single","Academic",64,35,92,34,29,33
23,1,1,0,"Single","Academic",71,43,102,38,2,13
